Date,Order Number,Index,Name,Price,Quantity,Total
2020-06-09 12:03:57,64,7,Egg Kottu,200,2,400
2020-06-09 12:07:51,65,4,Rice and Curry Chicken,200,4,800
2020-06-09 12:10:23,66,7,Egg Kottu,200,3,600
2020-06-09 12:39:20,67,9,Egg Biriyani,250,1,250
2020-06-09 12:55:28,68,8,Chicken Kottu,280,1,280
2020-06-09 13:30:28,69,3,Rice and Curry Fish,200,3,600
2020-06-09 13:32:09,70,10,Chicken Biriyani,360,1,360
2020-06-09 13:48:37,71,4,Rice and Curry Chicken,200,3,600
2020-06-09 14:32:31,72,3,Rice and Curry Fish,200,3,600
2020-06-09 14:36:29,73,8,Chicken Kottu,280,1,280
2020-06-09 14:55:14,74,8,Chicken Kottu,280,3,840
2020-06-09 14:57:59,75,1,Rice and Curry Vegetable,170,2,340
2020-06-09 15:04:11,76,6,Chicken Rice,320,5,1600
2020-06-09 15:17:21,77,2,Rice and Curry Egg,190,1,190
2020-06-09 15:19:53,78,6,Chicken Rice,320,1,320
2020-06-09 15:23:00,79,8,Chicken Kottu,280,2,560
2020-06-09 15:24:15,80,4,Rice and Curry Chicken,200,2,400
2020-06-09 16:14:17,81,3,Rice and Curry Fish,200,5,1000
2020-06-09 16:15:14,82,7,Egg Kottu,200,1,200
2020-06-09 16:33:17,83,4,Rice and Curry Chicken,200,4,800
2020-06-09 16:41:41,84,3,Rice and Curry Fish,200,3,600
2020-06-09 16:42:01,85,5,Egg Rice,200,5,1000
2020-06-09 16:43:59,86,6,Chicken Rice,320,2,640
2020-06-09 17:25:34,87,8,Chicken Kottu,280,4,1120
2020-06-09 17:44:57,88,2,Rice and Curry Egg,190,3,570
2020-06-09 18:08:57,89,7,Egg Kottu,200,3,600
2020-06-09 18:22:56,90,5,Egg Rice,200,3,600
2020-06-09 18:38:37,91,8,Chicken Kottu,280,1,280
2020-06-09 18:49:46,92,6,Chicken Rice,320,2,640
2020-06-10 08:26:10,93,6,Chicken Rice,320,1,320
2020-06-10 08:31:14,94,5,Egg Rice,200,1,200
2020-06-10 08:54:53,95,4,Rice and Curry Chicken,200,1,200
2020-06-10 09:10:30,96,8,Chicken Kottu,280,2,560
2020-06-10 09:28:59,97,5,Egg Rice,200,1,200
2020-06-10 09:33:45,98,5,Egg Rice,200,3,600
2020-06-10 09:33:55,99,9,Egg Biriyani,250,5,1250
2020-06-10 10:36:10,100,8,Chicken Kottu,280,3,840
2020-06-10 10:39:07,101,6,Chicken Rice,320,3,960
2020-06-10 10:44:02,102,2,Rice and Curry Egg,190,1,190
2020-06-10 10:52:22,103,5,Egg Rice,200,1,200
2020-06-10 11:02:13,104,5,Egg Rice,200,1,200
2020-06-10 11:16:21,105,3,Rice and Curry Fish,200,1,200
2020-06-10 11:18:00,106,5,Egg Rice,200,1,200
2020-06-10 11:19:29,107,3,Rice and Curry Fish,200,1,200
2020-06-10 12:03:22,108,8,Chicken Kottu,280,4,1120
2020-06-10 12:06:36,109,6,Chicken Rice,320,1,320
2020-06-10 12:07:03,110,6,Chicken Rice,320,2,640
2020-06-10 12:14:26,111,4,Rice and Curry Chicken,200,1,200
2020-06-10 12:14:29,112,4,Rice and Curry Chicken,200,4,800
2020-06-10 12:24:10,113,10,Chicken Biriyani,360,2,720
2020-06-10 12:38:47,114,6,Chicken Rice,320,1,320
2020-06-10 15:09:44,115,6,Chicken Rice,320,2,640
2020-06-10 15:38:18,116,9,Egg Biriyani,250,2,500
2020-06-10 15:55:25,117,7,Egg Kottu,200,1,200
2020-06-10 15:59:07,118,8,Chicken Kottu,280,3,840
2020-06-10 16:03:54,119,6,Chicken Rice,320,5,1600
2020-06-10 16:47:47,120,8,Chicken Kottu,280,1,280
2020-06-10 16:50:24,121,4,Rice and Curry Chicken,200,1,200
2020-06-10 16:51:32,122,10,Chicken Biriyani,360,1,360
2020-06-10 17:44:24,123,4,Rice and Curry Chicken,200,1,200
2020-06-10 18:00:25,124,2,Rice and Curry Egg,190,1,190
2020-06-10 18:12:16,125,10,Chicken Biriyani,360,2,720
2020-06-10 18:13:49,126,4,Rice and Curry Chicken,200,3,600
2020-06-10 18:50:05,127,8,Chicken Kottu,280,1,280
2020-06-10 18:56:30,128,5,Egg Rice,200,1,200
2020-06-10 18:57:39,129,9,Egg Biriyani,250,1,250
2020-06-10 19:06:16,130,5,Egg Rice,200,3,600
2020-06-10 19:40:47,131,7,Egg Kottu,200,1,200
2020-06-10 19:55:03,132,3,Rice and Curry Fish,200,1,200
2020-06-11 08:11:19,133,6,Chicken Rice,320,5,1600
2020-06-11 08:22:08,134,4,Rice and Curry Chicken,200,5,1000
2020-06-11 08:38:47,135,4,Rice and Curry Chicken,200,1,200
2020-06-11 08:39:33,136,8,Chicken Kottu,280,1,280
2020-06-11 08:39:38,137,4,Rice and Curry Chicken,200,2,400
2020-06-11 08:49:09,138,8,Chicken Kottu,280,1,280
2020-06-11 08:54:29,139,4,Rice and Curry Chicken,200,1,200
2020-06-11 09:24:43,140,6,Chicken Rice,320,2,640
2020-06-11 10:01:45,141,5,Egg Rice,200,2,400
2020-06-11 10:22:04,142,9,Egg Biriyani,250,1,250
2020-06-11 10:37:04,143,6,Chicken Rice,320,1,320
2020-06-11 10:43:55,144,6,Chicken Rice,320,1,320
2020-06-11 10:55:58,145,2,Rice and Curry Egg,190,1,190
2020-06-11 11:13:04,146,4,Rice and Curry Chicken,200,3,600
2020-06-11 11:15:36,147,7,Egg Kottu,200,3,600
2020-06-11 11:20:02,148,3,Rice and Curry Fish,200,2,400
2020-06-11 11:29:26,149,8,Chicken Kottu,280,2,560
2020-06-11 12:06:23,150,8,Chicken Kottu,280,1,280
2020-06-11 12:15:01,151,8,Chicken Kottu,280,2,560
2020-06-11 12:20:52,152,3,Rice and Curry Fish,200,2,400
2020-06-11 12:22:34,153,4,Rice and Curry Chicken,200,1,200
2020-06-11 13:38:19,154,4,Rice and Curry Chicken,200,1,200
2020-06-11 13:39:33,155,7,Egg Kottu,200,1,200
2020-06-11 13:50:48,156,4,Rice and Curry Chicken,200,4,800
2020-06-11 13:56:23,157,8,Chicken Kottu,280,2,560
2020-06-11 14:06:16,158,6,Chicken Rice,320,2,640
2020-06-11 14:16:43,159,7,Egg Kottu,200,1,200
2020-06-11 14:19:58,160,4,Rice and Curry Chicken,200,4,800
2020-06-11 14:55:30,161,5,Egg Rice,200,1,200
2020-06-11 15:34:10,162,7,Egg Kottu,200,1,200
2020-06-11 15:37:06,163,6,Chicken Rice,320,4,1280
2020-06-11 16:04:35,164,4,Rice and Curry Chicken,200,1,200
2020-06-11 16:26:24,165,5,Egg Rice,200,5,1000
2020-06-11 16:46:08,166,10,Chicken Biriyani,360,1,360
2020-06-11 16:54:03,167,5,Egg Rice,200,1,200
2020-06-11 16:57:41,168,1,Rice and Curry Vegetable,170,1,170
2020-06-11 17:02:40,169,10,Chicken Biriyani,360,1,360
2020-06-11 17:03:03,170,8,Chicken Kottu,280,1,280
2020-06-11 17:17:34,171,7,Egg Kottu,200,1,200
2020-06-11 17:38:55,172,2,Rice and Curry Egg,190,5,950
2020-06-11 18:02:15,173,6,Chicken Rice,320,1,320
2020-06-11 18:02:22,174,4,Rice and Curry Chicken,200,1,200
2020-06-11 18:13:39,175,3,Rice and Curry Fish,200,1,200
2020-06-11 18:19:51,176,7,Egg Kottu,200,1,200
2020-06-11 18:29:32,177,4,Rice and Curry Chicken,200,2,400
2020-06-11 18:38:54,178,7,Egg Kottu,200,2,400
2020-06-11 18:42:08,179,4,Rice and Curry Chicken,200,1,200
2020-06-11 18:44:54,180,3,Rice and Curry Fish,200,2,400
2020-06-11 19:07:08,181,5,Egg Rice,200,3,600
2020-06-11 19:07:10,182,8,Chicken Kottu,280,2,560
2020-06-11 19:25:34,183,3,Rice and Curry Fish,200,1,200
2020-06-11 19:37:10,184,3,Rice and Curry Fish,200,3,600
2020-06-11 19:53:52,185,5,Egg Rice,200,2,400
2020-06-12 08:02:22,186,4,Rice and Curry Chicken,200,1,200
2020-06-12 08:11:41,187,5,Egg Rice,200,1,200
2020-06-12 08:32:03,188,2,Rice and Curry Egg,190,4,760
2020-06-12 08:35:05,189,3,Rice and Curry Fish,200,3,600
2020-06-12 09:08:13,190,4,Rice and Curry Chicken,200,1,200
2020-06-12 09:22:56,191,8,Chicken Kottu,280,1,280
2020-06-12 09:24:02,192,5,Egg Rice,200,4,800
2020-06-12 09:25:46,193,5,Egg Rice,200,3,600
2020-06-12 09:34:15,194,6,Chicken Rice,320,1,320
2020-06-12 09:40:36,195,2,Rice and Curry Egg,190,1,190
2020-06-12 09:47:02,196,5,Egg Rice,200,1,200
2020-06-12 09:50:32,197,8,Chicken Kottu,280,1,280
2020-06-12 09:53:22,198,4,Rice and Curry Chicken,200,3,600
2020-06-12 10:00:12,199,3,Rice and Curry Fish,200,1,200
2020-06-12 10:09:21,200,6,Chicken Rice,320,1,320
2020-06-12 10:11:44,201,4,Rice and Curry Chicken,200,2,400
2020-06-12 10:15:18,202,8,Chicken Kottu,280,2,560
2020-06-12 10:35:34,203,4,Rice and Curry Chicken,200,1,200
2020-06-12 10:56:08,204,3,Rice and Curry Fish,200,2,400
2020-06-12 11:04:12,205,6,Chicken Rice,320,1,320
2020-06-12 11:09:01,206,4,Rice and Curry Chicken,200,4,800
2020-06-12 11:16:01,207,8,Chicken Kottu,280,1,280
2020-06-12 11:43:31,208,2,Rice and Curry Egg,190,1,190
2020-06-12 11:45:56,209,3,Rice and Curry Fish,200,4,800
2020-06-12 11:48:55,210,8,Chicken Kottu,280,2,560
2020-06-12 11:51:32,211,5,Egg Rice,200,3,600
2020-06-12 12:09:48,212,4,Rice and Curry Chicken,200,3,600
2020-06-12 12:24:49,213,8,Chicken Kottu,280,4,1120
2020-06-12 12:27:16,214,9,Egg Biriyani,250,1,250
2020-06-12 12:48:32,215,8,Chicken Kottu,280,1,280
2020-06-12 13:08:11,216,3,Rice and Curry Fish,200,5,1000
2020-06-12 13:08:56,217,5,Egg Rice,200,1,200
2020-06-12 13:22:47,218,4,Rice and Curry Chicken,200,2,400
2020-06-12 13:56:40,219,2,Rice and Curry Egg,190,5,950
2020-06-12 14:03:43,220,3,Rice and Curry Fish,200,1,200
2020-06-12 14:04:06,221,4,Rice and Curry Chicken,200,3,600
2020-06-12 14:05:26,222,4,Rice and Curry Chicken,200,1,200
2020-06-12 14:18:40,223,6,Chicken Rice,320,1,320
2020-06-12 15:23:03,224,1,Rice and Curry Vegetable,170,2,340
2020-06-12 15:34:04,225,8,Chicken Kottu,280,3,840
2020-06-12 15:53:12,226,1,Rice and Curry Vegetable,170,4,680
2020-06-12 16:02:18,227,4,Rice and Curry Chicken,200,1,200
2020-06-12 16:19:36,228,5,Egg Rice,200,2,400
2020-06-12 16:46:05,229,7,Egg Kottu,200,1,200
2020-06-12 16:57:57,230,4,Rice and Curry Chicken,200,1,200
2020-06-12 17:12:58,231,8,Chicken Kottu,280,1,280
2020-06-12 17:15:34,232,5,Egg Rice,200,3,600
2020-06-12 17:20:12,233,2,Rice and Curry Egg,190,2,380
2020-06-12 17:44:09,234,7,Egg Kottu,200,4,800
2020-06-12 18:25:44,235,3,Rice and Curry Fish,200,4,800
2020-06-12 18:30:05,236,4,Rice and Curry Chicken,200,1,200
2020-06-12 18:56:42,237,1,Rice and Curry Vegetable,170,2,340
2020-06-12 19:09:09,238,7,Egg Kottu,200,1,200
2020-06-12 19:29:08,239,10,Chicken Biriyani,360,3,1080
2020-06-12 19:41:44,240,8,Chicken Kottu,280,1,280
2020-06-12 19:43:34,241,8,Chicken Kottu,280,1,280
2020-06-12 19:48:10,242,2,Rice and Curry Egg,190,1,190
2020-06-12 19:50:44,243,4,Rice and Curry Chicken,200,4,800
2020-06-13 08:08:42,244,7,Egg Kottu,200,3,600
2020-06-13 08:40:19,245,8,Chicken Kottu,280,2,560
2020-06-13 08:41:55,246,4,Rice and Curry Chicken,200,1,200
2020-06-13 08:58:28,247,3,Rice and Curry Fish,200,1,200
2020-06-13 09:02:35,248,3,Rice and Curry Fish,200,1,200
2020-06-13 09:49:43,249,4,Rice and Curry Chicken,200,3,600
2020-06-13 09:52:36,250,9,Egg Biriyani,250,3,750
2020-06-13 09:55:43,251,10,Chicken Biriyani,360,1,360
2020-06-13 09:59:03,252,6,Chicken Rice,320,3,960
2020-06-13 10:08:36,253,3,Rice and Curry Fish,200,1,200
2020-06-13 10:12:06,254,7,Egg Kottu,200,3,600
2020-06-13 10:20:12,255,6,Chicken Rice,320,1,320
2020-06-13 10:42:35,256,6,Chicken Rice,320,2,640
2020-06-13 11:06:07,257,7,Egg Kottu,200,2,400
2020-06-13 11:07:26,258,6,Chicken Rice,320,1,320
2020-06-13 11:18:13,259,8,Chicken Kottu,280,3,840
2020-06-13 11:27:29,260,3,Rice and Curry Fish,200,5,1000
2020-06-13 11:33:24,261,10,Chicken Biriyani,360,1,360
2020-06-13 11:35:06,262,3,Rice and Curry Fish,200,1,200
2020-06-13 11:50:17,263,8,Chicken Kottu,280,1,280
2020-06-13 11:55:41,264,7,Egg Kottu,200,4,800
2020-06-13 12:44:00,265,9,Egg Biriyani,250,3,750
2020-06-13 13:07:37,266,8,Chicken Kottu,280,2,560
2020-06-13 13:53:19,267,7,Egg Kottu,200,1,200
2020-06-13 14:08:26,268,5,Egg Rice,200,1,200
2020-06-13 14:47:22,269,5,Egg Rice,200,5,1000
2020-06-13 14:54:41,270,5,Egg Rice,200,1,200
2020-06-13 15:25:02,271,10,Chicken Biriyani,360,1,360
2020-06-13 15:43:40,272,8,Chicken Kottu,280,1,280
2020-06-13 15:46:43,273,9,Egg Biriyani,250,2,500
2020-06-13 15:48:53,274,8,Chicken Kottu,280,4,1120
2020-06-13 15:56:14,275,7,Egg Kottu,200,1,200
2020-06-13 16:05:26,276,3,Rice and Curry Fish,200,1,200
2020-06-13 16:05:47,277,4,Rice and Curry Chicken,200,2,400
2020-06-13 16:07:29,278,7,Egg Kottu,200,1,200
2020-06-13 16:09:38,279,5,Egg Rice,200,1,200
2020-06-13 16:18:04,280,3,Rice and Curry Fish,200,4,800
2020-06-13 16:42:20,281,4,Rice and Curry Chicken,200,1,200
2020-06-13 16:47:21,282,3,Rice and Curry Fish,200,1,200
2020-06-13 17:21:42,283,7,Egg Kottu,200,2,400
2020-06-13 17:28:27,284,5,Egg Rice,200,2,400
2020-06-13 17:34:23,285,6,Chicken Rice,320,1,320
2020-06-13 17:40:29,286,7,Egg Kottu,200,2,400
2020-06-13 17:59:54,287,3,Rice and Curry Fish,200,2,400
2020-06-13 18:08:46,288,4,Rice and Curry Chicken,200,1,200
2020-06-13 18:15:45,289,4,Rice and Curry Chicken,200,1,200
2020-06-13 18:33:33,290,3,Rice and Curry Fish,200,2,400
2020-06-13 18:50:19,291,4,Rice and Curry Chicken,200,1,200
2020-06-13 19:26:19,292,6,Chicken Rice,320,3,960
2020-06-13 19:32:35,293,6,Chicken Rice,320,4,1280
2020-06-14 08:07:15,294,2,Rice and Curry Egg,190,2,380
2020-06-14 08:07:56,295,2,Rice and Curry Egg,190,1,190
2020-06-14 08:12:14,296,6,Chicken Rice,320,2,640
2020-06-14 08:25:19,297,7,Egg Kottu,200,1,200
2020-06-14 08:26:40,298,10,Chicken Biriyani,360,2,720
2020-06-14 08:30:41,299,6,Chicken Rice,320,1,320
2020-06-14 08:35:10,300,4,Rice and Curry Chicken,200,1,200
2020-06-14 08:35:30,301,7,Egg Kottu,200,3,600
2020-06-14 08:39:09,302,5,Egg Rice,200,1,200
2020-06-14 09:19:56,303,7,Egg Kottu,200,5,1000
2020-06-14 09:24:17,304,8,Chicken Kottu,280,2,560
2020-06-14 09:27:58,305,3,Rice and Curry Fish,200,1,200
2020-06-14 10:02:07,306,4,Rice and Curry Chicken,200,2,400
2020-06-14 10:16:04,307,4,Rice and Curry Chicken,200,3,600
2020-06-14 10:16:23,308,10,Chicken Biriyani,360,1,360
2020-06-14 10:24:23,309,8,Chicken Kottu,280,2,560
2020-06-14 11:15:17,310,2,Rice and Curry Egg,190,2,380
2020-06-14 11:20:25,311,3,Rice and Curry Fish,200,5,1000
2020-06-14 11:40:26,312,4,Rice and Curry Chicken,200,2,400
2020-06-14 11:49:42,313,8,Chicken Kottu,280,1,280
2020-06-14 11:58:49,314,7,Egg Kottu,200,1,200
2020-06-14 12:02:14,315,2,Rice and Curry Egg,190,1,190
2020-06-14 12:05:38,316,5,Egg Rice,200,1,200
2020-06-14 12:12:20,317,7,Egg Kottu,200,1,200
2020-06-14 12:16:07,318,3,Rice and Curry Fish,200,1,200
2020-06-14 12:41:42,319,6,Chicken Rice,320,4,1280
2020-06-14 12:42:27,320,5,Egg Rice,200,4,800
2020-06-14 12:56:14,321,9,Egg Biriyani,250,1,250
2020-06-14 12:59:11,322,9,Egg Biriyani,250,1,250
2020-06-14 13:10:27,323,5,Egg Rice,200,1,200
2020-06-14 13:32:11,324,5,Egg Rice,200,1,200
2020-06-14 13:37:47,325,8,Chicken Kottu,280,1,280
2020-06-14 13:57:50,326,4,Rice and Curry Chicken,200,2,400
2020-06-14 14:05:59,327,4,Rice and Curry Chicken,200,2,400
2020-06-14 14:23:38,328,4,Rice and Curry Chicken,200,3,600
2020-06-14 14:47:05,329,5,Egg Rice,200,1,200
2020-06-14 15:04:39,330,6,Chicken Rice,320,1,320
2020-06-14 15:40:32,331,4,Rice and Curry Chicken,200,1,200
2020-06-14 15:43:08,332,8,Chicken Kottu,280,4,1120
2020-06-14 16:00:36,333,10,Chicken Biriyani,360,3,1080
2020-06-14 16:16:36,334,8,Chicken Kottu,280,1,280
2020-06-14 16:41:55,335,5,Egg Rice,200,1,200
2020-06-14 16:47:25,336,6,Chicken Rice,320,2,640
2020-06-14 16:51:16,337,6,Chicken Rice,320,2,640
2020-06-14 16:56:15,338,7,Egg Kottu,200,5,1000
2020-06-14 17:08:13,339,6,Chicken Rice,320,1,320
2020-06-14 17:09:59,340,1,Rice and Curry Vegetable,170,1,170
2020-06-14 17:11:59,341,1,Rice and Curry Vegetable,170,2,340
2020-06-14 17:35:17,342,10,Chicken Biriyani,360,1,360
2020-06-14 17:40:50,343,1,Rice and Curry Vegetable,170,1,170
2020-06-14 17:40:56,344,4,Rice and Curry Chicken,200,3,600
2020-06-14 18:16:20,345,1,Rice and Curry Vegetable,170,2,340
2020-06-14 18:26:16,346,3,Rice and Curry Fish,200,1,200
2020-06-14 18:42:40,347,8,Chicken Kottu,280,1,280
2020-06-14 19:01:06,348,4,Rice and Curry Chicken,200,3,600
2020-06-14 19:07:04,349,8,Chicken Kottu,280,4,1120
2020-06-14 19:19:33,350,9,Egg Biriyani,250,1,250
2020-06-14 19:37:22,351,3,Rice and Curry Fish,200,1,200
2020-06-14 19:52:04,352,8,Chicken Kottu,280,2,560
2020-06-15 08:00:26,353,5,Egg Rice,200,2,400
2020-06-15 08:15:49,354,3,Rice and Curry Fish,200,5,1000
2020-06-15 08:16:30,355,1,Rice and Curry Vegetable,170,3,510
2020-06-15 08:18:26,356,4,Rice and Curry Chicken,200,2,400
2020-06-15 08:38:00,357,10,Chicken Biriyani,360,3,1080
2020-06-15 08:39:00,358,6,Chicken Rice,320,1,320
2020-06-15 08:50:17,359,4,Rice and Curry Chicken,200,2,400
2020-06-15 09:06:20,360,4,Rice and Curry Chicken,200,5,1000
2020-06-15 09:17:57,361,8,Chicken Kottu,280,2,560
2020-06-15 09:18:29,362,4,Rice and Curry Chicken,200,1,200
2020-06-15 09:29:43,363,4,Rice and Curry Chicken,200,1,200
2020-06-15 09:35:44,364,6,Chicken Rice,320,2,640
2020-06-15 09:43:22,365,2,Rice and Curry Egg,190,5,950
2020-06-15 10:13:50,366,7,Egg Kottu,200,1,200
2020-06-15 10:20:06,367,4,Rice and Curry Chicken,200,4,800
2020-06-15 10:29:10,368,2,Rice and Curry Egg,190,1,190
2020-06-15 10:35:53,369,7,Egg Kottu,200,3,600
2020-06-15 10:42:07,370,10,Chicken Biriyani,360,1,360
2020-06-15 10:58:43,371,4,Rice and Curry Chicken,200,1,200
2020-06-15 11:00:39,372,2,Rice and Curry Egg,190,3,570
2020-06-15 11:25:55,373,10,Chicken Biriyani,360,4,1440
2020-06-15 11:33:14,374,10,Chicken Biriyani,360,2,720
2020-06-15 11:52:13,375,9,Egg Biriyani,250,1,250
2020-06-15 11:54:22,376,2,Rice and Curry Egg,190,2,380
2020-06-15 11:57:29,377,3,Rice and Curry Fish,200,3,600
2020-06-15 11:59:14,378,8,Chicken Kottu,280,1,280
2020-06-15 12:14:15,379,3,Rice and Curry Fish,200,1,200
2020-06-15 12:17:38,380,1,Rice and Curry Vegetable,170,1,170
2020-06-15 12:28:58,381,4,Rice and Curry Chicken,200,4,800
2020-06-15 12:38:43,382,8,Chicken Kottu,280,4,1120
2020-06-15 13:08:40,383,7,Egg Kottu,200,3,600
2020-06-15 13:28:43,384,3,Rice and Curry Fish,200,1,200
2020-06-15 13:35:11,385,6,Chicken Rice,320,1,320
2020-06-15 13:45:10,386,6,Chicken Rice,320,1,320
2020-06-15 13:54:17,387,5,Egg Rice,200,3,600
2020-06-15 14:00:06,388,3,Rice and Curry Fish,200,4,800
2020-06-15 14:04:08,389,2,Rice and Curry Egg,190,3,570
2020-06-15 14:07:33,390,4,Rice and Curry Chicken,200,3,600
2020-06-15 14:07:52,391,4,Rice and Curry Chicken,200,2,400
2020-06-15 14:14:27,392,6,Chicken Rice,320,1,320
2020-06-15 14:34:37,393,6,Chicken Rice,320,5,1600
2020-06-15 14:59:22,394,6,Chicken Rice,320,2,640
2020-06-15 14:59:35,395,3,Rice and Curry Fish,200,2,400
2020-06-15 15:57:02,396,7,Egg Kottu,200,1,200
2020-06-15 16:09:57,397,4,Rice and Curry Chicken,200,1,200
2020-06-15 16:10:39,398,7,Egg Kottu,200,1,200
2020-06-15 16:17:03,399,6,Chicken Rice,320,4,1280
2020-06-15 16:44:38,400,3,Rice and Curry Fish,200,5,1000
2020-06-15 17:18:32,401,6,Chicken Rice,320,3,960
2020-06-15 17:27:18,402,2,Rice and Curry Egg,190,1,190
2020-06-15 17:27:30,403,7,Egg Kottu,200,2,400
2020-06-15 18:35:37,404,4,Rice and Curry Chicken,200,1,200
2020-06-15 18:51:09,405,8,Chicken Kottu,280,1,280
2020-06-15 19:00:27,406,8,Chicken Kottu,280,1,280
2020-06-15 19:02:19,407,4,Rice and Curry Chicken,200,2,400
2020-06-15 19:03:33,408,2,Rice and Curry Egg,190,1,190
2020-06-15 19:23:29,409,4,Rice and Curry Chicken,200,5,1000
2020-06-15 19:56:43,410,1,Rice and Curry Vegetable,170,1,170
2020-06-16 08:26:13,411,4,Rice and Curry Chicken,200,3,600
2020-06-16 08:32:05,412,4,Rice and Curry Chicken,200,3,600
2020-06-16 08:38:59,413,4,Rice and Curry Chicken,200,2,400
2020-06-16 08:55:31,414,4,Rice and Curry Chicken,200,1,200
2020-06-16 08:56:56,415,3,Rice and Curry Fish,200,2,400
2020-06-16 09:05:15,416,3,Rice and Curry Fish,200,1,200
2020-06-16 09:55:43,417,4,Rice and Curry Chicken,200,3,600
2020-06-16 09:59:34,418,4,Rice and Curry Chicken,200,1,200
2020-06-16 10:09:10,419,8,Chicken Kottu,280,4,1120
2020-06-16 10:28:06,420,4,Rice and Curry Chicken,200,2,400
2020-06-16 10:46:06,421,1,Rice and Curry Vegetable,170,3,510
2020-06-16 10:52:30,422,8,Chicken Kottu,280,2,560
2020-06-16 10:52:57,423,4,Rice and Curry Chicken,200,2,400
2020-06-16 11:05:48,424,7,Egg Kottu,200,1,200
2020-06-16 11:09:05,425,8,Chicken Kottu,280,5,1400
